Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002721,Male,Yes,2,Graduate,Yes,7500,0,183,360,1,Rural,N
LP002735,Male,Yes,2,Not Graduate,No,3859,0,121,360,1,Rural,Y
LP002744,Male,Yes,1,Graduate,No,6825,0,162,360,1,Rural,Y
LP002745,Male,Yes,0,Graduate,No,3708,4700,132,360,1,Semiurban,Y
LP002746,Male,No,0,Graduate,No,5314,0,147,360,1,Urban,Y
LP002747,Female,No,3+,Graduate,No,2366,5272,153,360,0,Rural,Y
LP002754,Male,No,,Graduate,No,2066,2108,104,84,1,Urban,Y
LP002759,Male,Yes,2,Graduate,No,5000,0,149,360,1,Rural,Y
LP002760,Female,No,0,Graduate,No,3767,0,134,300,1,Urban,Y
LP002766,Female,Yes,0,Graduate,No,7859,879,165,180,1,Semiurban,Y
LP002769,Female,Yes,0,Graduate,No,4283,0,120,360,1,Rural,Y
LP002774,Male,Yes,0,Not Graduate,No,1700,2900,67,360,0,Urban,Y
LP002775,Female,No,0,Not Graduate,No,4768,0,125,360,1,Rural,Y
LP001855,Female,Yes,3,Graduate,Yes,7043,0,6843,240,0,RURAL,Y
LP001475,Male,No,1,Graduate,Yes,6284,0,6678,240,0,URBAN,Y
LP002107,Female,Yes,0,Graduate,Yes,4591,1473,22213,360,1,URBAN,Y
LP007060,Female,No,1,Graduate,Yes,7876,0,3615,180,1,URBAN,Y
LP006617,Female,Yes,1,Graduate,No,4696,9928,23876,360,0,RURAL,Y
LP006379,Male,No,3,Not Graduate,Yes,5450,0,24156,180,1,URBAN,Y
LP005544,Male,Yes,4,Graduate,Yes,6106,0,5046,240,0,SEMIURBAN,Y
LP004091,Male,No,4,Graduate,No,10169,0,23473,180,1,RURAL,N
LP001573,Female,Yes,4,Graduate,No,5555,0,3857,180,1,SEMIURBAN,Y
LP006703,Male,Yes,4,Graduate,Yes,5523,0,22674,360,0,SEMIURBAN,Y
LP004170,Male,No,4,Not Graduate,No,7770,0,11463,240,1,RURAL,Y
LP002856,Male,Yes,1,Not Graduate,No,3003,0,9909,360,1,URBAN,N
LP002971,Female,Yes,5,Not Graduate,Yes,7476,0,24564,240,0,RURAL,Y
LP002856,Female,No,1,Graduate,No,11051,0,3569,180,1,URBAN,N
LP006379,Female,No,0,Not Graduate,No,11766,9611,23210,180,1,SEMIURBAN,Y
LP003726,Female,Yes,1,Graduate,Yes,10289,0,6968,180,1,SEMIURBAN,Y
LP002402,Male,Yes,3,Graduate,No,9853,0,12777,360,0,URBAN,Y
LP002176,Male,Yes,4,Not Graduate,Yes,11278,0,617,360,1,SEMIURBAN,Y
LP004573,Female,Yes,0,Not Graduate,No,1999,0,17775,360,1,URBAN,Y
LP001655,Female,Yes,1,Graduate,Yes,1631,0,21570,240,1,URBAN,Y
LP007338,Female,No,1,Not Graduate,No,12415,0,8353,180,0,RURAL,Y
LP007609,Male,No,0,Not Graduate,Yes,9593,0,17446,360,1,SEMIURBAN,N
LP006999,Male,No,1,Graduate,Yes,8516,0,21741,240,1,RURAL,Y
LP005472,Male,Yes,1,Graduate,Yes,4470,0,7784,360,1,URBAN,Y
LP002920,Male,No,1,Not Graduate,No,7089,907,5389,180,1,SEMIURBAN,Y
LP002064,Male,Yes,0,Graduate,Yes,11462,0,2727,360,0,SEMIURBAN,Y
LP006286,Female,No,1,Not Graduate,Yes,6278,0,16514,240,1,RURAL,Y
LP006286,Female,Yes,1,Graduate,Yes,6334,5908,21970,360,0,URBAN,Y
LP004513,Female,Yes,3,Graduate,No,12799,0,2317,240,1,SEMIURBAN,Y
LP005618,Female,Yes,1,Not Graduate,Yes,5081,4072,24682,360,1,SEMIURBAN,Y
LP003357,Male,Yes,3,Graduate,Yes,10800,0,24006,240,0,RURAL,Y
LP007340,Female,Yes,1,Graduate,No,4875,0,9562,180,0,URBAN,Y
LP005618,Female,Yes,2,Not Graduate,Yes,1862,0,8232,180,1,SEMIURBAN,N
LP007833,Male,No,5,Graduate,No,5820,0,6267,240,0,SEMIURBAN,Y
LP005544,Female,No,4,Graduate,Yes,6534,0,3185,180,1,URBAN,Y
LP003497,Male,Yes,3,Graduate,Yes,8733,0,10431,180,1,URBAN,Y
LP002383,Male,Yes,1,Graduate,Yes,2759,9100,20795,180,0,RURAL,Y
LP007940,Female,Yes,5,Not Graduate,No,4496,8668,19809,240,0,RURAL,Y
LP004170,Female,No,4,Graduate,No,11623,1301,6869,180,0,URBAN,Y
LP005301,Female,Yes,4,Not Graduate,Yes,3339,0,6039,180,0,SEMIURBAN,Y
LP005133,Female,No,1,Graduate,Yes,3400,0,20224,360,1,URBAN,N
LP007205,Female,Yes,4,Not Graduate,Yes,3026,0,21545,180,1,URBAN,N
LP005472,Female,Yes,2,Not Graduate,Yes,11967,0,2542,360,1,URBAN,N
LP003357,Female,Yes,1,Not Graduate,No,4087,0,19941,360,1,RURAL,Y
LP003497,Female,No,5,Graduate,No,4860,0,8910,180,1,SEMIURBAN,N
LP004573,Female,No,3,Graduate,Yes,4143,0,1245,360,1,URBAN,N
LP002901,Female,No,3,Not Graduate,No,10023,0,14870,360,1,URBAN,N
LP004559,Female,Yes,0,Not Graduate,No,6501,0,18667,240,0,URBAN,Y
LP007060,Female,Yes,1,Graduate,No,9391,0,2432,240,1,URBAN,Y
LP008514,Female,No,0,Not Graduate,No,10028,0,19376,180,0,RURAL,Y
LP007627,Female,Yes,3,Not Graduate,No,6510,0,23266,180,1,URBAN,Y
LP004091,Female,No,4,Graduate,No,2210,0,6061,240,1,URBAN,Y
LP005691,Female,Yes,4,Graduate,Yes,7049,3729,14893,240,0,SEMIURBAN,Y
LP006379,Male,Yes,3,Not Graduate,Yes,8655,977,8567,180,1,SEMIURBAN,Y
LP003742,Female,Yes,1,Graduate,Yes,8396,3452,17931,240,1,SEMIURBAN,Y
LP003726,Female,Yes,5,Not Graduate,Yes,11428,0,23144,180,1,RURAL,Y
LP011309,Female,No,3,Not Graduate,Yes,12673,0,21271,240,1,RURAL,N
LP001542,Male,No,2,Not Graduate,Yes,9011,0,18383,180,1,SEMIURBAN,Y
LP007338,Male,Yes,0,Not Graduate,Yes,6313,8022,6299,240,1,SEMIURBAN,Y
LP011216,Male,Yes,0,Not Graduate,Yes,12143,0,18540,360,0,SEMIURBAN,Y
LP010195,Female,Yes,0,Graduate,Yes,4183,0,505,240,0,RURAL,Y
LP003742,Male,Yes,0,Graduate,Yes,6712,6646,10493,360,1,SEMIURBAN,Y
LP008537,Female,Yes,1,Graduate,No,3176,0,3231,360,0,RURAL,Y
LP011551,Male,No,1,Not Graduate,No,4662,0,4537,240,1,URBAN,Y
LP011761,Male,Yes,1,Graduate,Yes,6620,2533,1762,180,1,URBAN,N
LP006703,Male,No,0,Not Graduate,Yes,7994,7672,4386,360,1,RURAL,Y
LP006581,Male,No,4,Not Graduate,No,5968,0,6380,240,0,RURAL,Y
LP005301,Female,No,0,Graduate,Yes,8423,0,7152,240,0,RURAL,Y
LP006257,Male,No,3,Graduate,No,12272,0,12321,180,1,URBAN,N
LP002553,Female,No,3,Not Graduate,No,8434,0,21248,180,1,RURAL,Y
LP008777,Male,No,0,Graduate,Yes,4358,0,6923,240,0,URBAN,Y
LP002890,Female,No,5,Graduate,Yes,5246,0,14846,180,1,URBAN,N
LP011520,Female,Yes,1,Graduate,No,6620,2233,6482,360,0,URBAN,Y
LP008514,Female,No,4,Not Graduate,Yes,11420,0,3558,240,0,RURAL,Y
LP007598,Male,No,0,Graduate,Yes,7811,0,24190,360,1,SEMIURBAN,Y
LP008777,Female,No,2,Not Graduate,No,12346,0,8153,360,1,RURAL,N
LP011574,Female,Yes,0,Graduate,Yes,9819,0,4881,240,0,URBAN,N
LP010521,Male,Yes,5,Not Graduate,No,3761,0,8791,180,1,RURAL,N
LP004513,Female,Yes,2,Graduate,Yes,10769,0,9710,180,1,URBAN,Y
LP011084,Male,No,2,Graduate,Yes,10500,0,10823,180,1,URBAN,N
LP008222,Male,No,3,Not Graduate,No,9869,0,20764,240,0,SEMIURBAN,N
LP011868,Male,No,1,Graduate,Yes,10218,0,11249,360,0,URBAN,Y
LP004559,Male,No,0,Graduate,No,8017,0,23264,180,1,RURAL,Y
LP009540,Female,No,4,Graduate,No,2582,0,10768,240,0,RURAL,Y
LP011922,Female,No,0,Graduate,Yes,6158,6655,6406,180,0,SEMIURBAN,Y
LP011687,Male,No,2,Graduate,No,3539,0,7915,360,0,SEMIURBAN,N
LP007205,Male,Yes,1,Graduate,Yes,7717,0,24365,180,0,URBAN,Y
LP009151,Male,Yes,5,Graduate,No,5233,0,5451,360,1,SEMIURBAN,Y
LP007989,Male,No,3,Not Graduate,No,4021,0,12038,180,1,SEMIURBAN,Y
LP008222,Male,No,4,Not Graduate,Yes,11061,0,3765,240,1,SEMIURBAN,Y
LP007940,Female,Yes,5,Not Graduate,Yes,7245,0,15581,360,0,SEMIURBAN,Y
LP011145,Female,No,2,Graduate,Yes,2634,0,1286,180,1,SEMIURBAN,N
LP005691,Female,Yes,1,Not Graduate,No,10668,0,12354,180,0,SEMIURBAN,N
LP011287,Female,No,0,Graduate,Yes,4629,431,10351,360,1,RURAL,Y
LP011216,Male,No,1,Graduate,No,2315,0,22141,180,0,SEMIURBAN,Y
LP005133,Male,Yes,2,Graduate,Yes,9531,0,14846,360,0,URBAN,Y
LP007340,Male,No,1,Not Graduate,No,11190,9580,4824,240,0,RURAL,N
LP011635,Female,Yes,1,Not Graduate,No,12355,0,2874,180,1,SEMIURBAN,N
LP013458,Female,No,0,Graduate,No,7016,0,10213,240,1,URBAN,N
LP013683,Female,Yes,1,Not Graduate,Yes,6379,0,474,360,1,URBAN,Y
LP011355,Female,No,1,Graduate,No,7702,0,886,180,0,RURAL,Y
LP002857,Female,Yes,1,Graduate,No,5831,0,24689,360,1,SEMIURBAN,N
LP011639,Female,Yes,0,Not Graduate,No,11511,0,10518,360,1,SEMIURBAN,N
LP006931,Male,No,1,Graduate,No,6949,0,13135,180,0,SEMIURBAN,N
LP007017,Male,No,0,Not Graduate,No,12188,0,20408,180,1,URBAN,N
LP010940,Female,No,2,Not Graduate,Yes,11455,0,19283,240,1,RURAL,Y
LP007932,Male,No,1,Not Graduate,Yes,9691,7007,17500,240,0,RURAL,Y
LP009929,Male,No,3,Graduate,Yes,2871,0,14055,240,1,RURAL,N
LP014016,Male,No,4,Not Graduate,No,2566,0,4719,240,0,RURAL,Y
LP011969,Female,Yes,0,Not Graduate,No,11130,6677,10541,360,0,URBAN,Y
LP010195,Male,Yes,1,Not Graduate,No,2487,0,16745,360,1,SEMIURBAN,Y
LP012382,Male,No,1,Graduate,No,10748,0,4998,360,1,SEMIURBAN,N
LP013749,Female,Yes,4,Graduate,Yes,11785,0,23824,360,0,URBAN,N
LP007989,Female,No,0,Not Graduate,Yes,7079,0,23203,240,0,RURAL,Y
LP012776,Male,Yes,0,Graduate,Yes,3826,0,6936,180,1,URBAN,Y
LP012686,Male,Yes,1,Graduate,Yes,1844,0,18626,360,1,SEMIURBAN,N
LP012051,Female,Yes,3,Graduate,No,5451,7830,14770,180,0,URBAN,Y
LP011536,Female,Yes,0,Graduate,No,2248,0,3172,240,1,URBAN,Y
LP012352,Male,Yes,1,Not Graduate,No,6899,0,18506,240,0,SEMIURBAN,Y
LP012198,Male,No,3,Not Graduate,No,7714,0,14664,240,0,URBAN,N
LP010407,Male,No,5,Not Graduate,No,4418,0,12956,240,0,RURAL,Y
LP010641,Female,No,5,Graduate,Yes,12575,5058,13840,360,1,RURAL,N
LP013362,Female,No,0,Graduate,No,11836,3053,10799,360,0,RURAL,N
LP011898,Female,Yes,2,Graduate,Yes,6549,0,2096,240,1,RURAL,N
LP011503,Male,No,0,Not Graduate,Yes,2060,0,5865,360,1,SEMIURBAN,Y
LP013228,Female,Yes,3,Not Graduate,Yes,5213,0,6017,180,0,URBAN,Y
LP012931,Male,Yes,4,Graduate,No,9140,0,2947,360,1,RURAL,N
LP013626,Female,Yes,3,Not Graduate,No,6432,0,13513,240,1,SEMIURBAN,N
LP014836,Female,No,1,Graduate,No,3564,0,13042,360,1,URBAN,Y
LP014709,Female,Yes,1,Graduate,Yes,8044,0,5942,360,1,URBAN,N
LP011795,Male,Yes,0,Not Graduate,No,3387,1300,23240,360,0,RURAL,Y
LP016417,Male,No,1,Graduate,Yes,6828,0,17517,240,0,SEMIURBAN,N
LP007833,Female,No,2,Not Graduate,No,1700,0,13462,180,1,RURAL,Y
LP014648,Male,No,2,Not Graduate,No,10322,0,1909,360,1,URBAN,Y
LP010551,Male,Yes,3,Not Graduate,No,12105,1746,12641,180,1,SEMIURBAN,N
LP013226,Male,No,5,Not Graduate,Yes,8777,0,9000,360,1,SEMIURBAN,Y
LP014347,Male,No,2,Graduate,No,2195,0,18919,180,0,RURAL,Y
LP011206,Female,No,3,Graduate,Yes,4136,0,12211,180,0,URBAN,Y
LP016509,Male,Yes,5,Graduate,No,1905,0,23233,360,1,URBAN,Y
LP014897,Female,Yes,4,Not Graduate,No,7017,0,13549,240,1,SEMIURBAN,Y
LP016572,Female,No,1,Not Graduate,Yes,7998,0,24532,180,0,RURAL,N
LP012638,Female,Yes,0,Not Graduate,No,8801,6701,12285,180,0,URBAN,Y
LP012558,Female,No,1,Graduate,Yes,5618,5191,17164,360,0,RURAL,Y
LP012258,Female,Yes,3,Graduate,No,9270,0,24086,360,1,SEMIURBAN,Y
LP011371,Female,No,1,Graduate,Yes,9148,0,19093,180,0,URBAN,Y
LP009540,Male,No,1,Not Graduate,No,7026,0,13404,240,0,RURAL,Y
LP012907,Female,Yes,5,Not Graduate,Yes,9561,0,14656,360,1,URBAN,Y
LP013998,Male,Yes,4,Not Graduate,No,12815,0,10875,360,0,URBAN,Y
LP011153,Male,No,2,Graduate,Yes,7263,0,22015,240,0,URBAN,Y
LP014955,Female,No,1,Graduate,No,9724,0,4663,180,1,RURAL,Y
LP006931,Male,Yes,2,Not Graduate,Yes,10090,0,21436,180,1,RURAL,Y
LP011195,Male,Yes,1,Not Graduate,No,6211,2154,4125,180,0,SEMIURBAN,N
LP013087,Female,No,5,Not Graduate,Yes,12466,0,2809,180,0,SEMIURBAN,Y
LP011721,Male,Yes,2,Not Graduate,Yes,7261,0,9816,240,1,URBAN,N
LP011410,Female,Yes,1,Not Graduate,No,5932,0,9778,180,1,RURAL,N
LP015057,Male,No,3,Not Graduate,No,10324,0,7790,180,1,RURAL,Y
LP013056,Female,Yes,0,Not Graduate,No,2580,0,2340,360,0,SEMIURBAN,Y
LP017143,Male,Yes,0,Not Graduate,No,5311,0,13858,360,0,SEMIURBAN,Y
LP014708,Male,Yes,4,Not Graduate,No,9731,0,2052,180,1,RURAL,N
LP013908,Male,Yes,1,Not Graduate,Yes,1583,0,1123,360,0,SEMIURBAN,Y
LP015553,Male,No,1,Graduate,No,12764,0,19434,240,0,URBAN,Y
LP013327,Male,Yes,1,Not Graduate,No,10324,0,16856,180,1,RURAL,N
LP013634,Female,Yes,4,Not Graduate,Yes,6517,0,18829,180,0,URBAN,Y
LP011448,Female,Yes,4,Not Graduate,Yes,6854,0,14757,240,1,RURAL,Y
LP012602,Male,Yes,1,Graduate,No,2293,2416,16527,360,0,SEMIURBAN,Y
LP012424,Male,Yes,4,Not Graduate,No,1696,0,15097,360,0,SEMIURBAN,N
LP012458,Female,No,3,Not Graduate,No,5700,0,6047,180,0,SEMIURBAN,Y
LP016326,Male,Yes,2,Not Graduate,No,2019,0,18456,180,1,URBAN,N
LP012624,Male,Yes,1,Graduate,Yes,1653,0,9514,240,0,SEMIURBAN,Y
LP013752,Female,No,5,Not Graduate,No,7022,0,23445,360,1,SEMIURBAN,Y
LP014620,Female,No,0,Not Graduate,Yes,6702,0,15719,360,1,SEMIURBAN,Y
LP013103,Male,No,0,Graduate,No,7555,4055,15667,180,1,RURAL,N
LP010940,Female,No,1,Graduate,No,1772,0,14723,240,1,SEMIURBAN,N
LP011391,Female,No,0,Graduate,No,12541,0,4800,240,1,RURAL,N
LP014303,Male,Yes,5,Graduate,No,11165,0,21901,180,0,SEMIURBAN,Y
LP011765,Male,No,4,Not Graduate,Yes,4391,0,23834,360,0,URBAN,Y
LP007017,Male,No,4,Graduate,No,6681,0,24238,240,1,RURAL,Y
LP016682,Female,No,1,Graduate,No,1501,0,7218,240,0,URBAN,Y
LP013749,Male,Yes,1,Not Graduate,No,1998,0,24632,180,0,SEMIURBAN,Y
LP011831,Male,Yes,0,Graduate,No,7168,0,9974,180,0,URBAN,Y
LP013692,Male,No,0,Graduate,No,6349,6025,22176,360,1,URBAN,Y
LP013840,Male,Yes,1,Not Graduate,No,10235,0,12864,240,0,URBAN,Y
LP010521,Male,Yes,2,Not Graduate,No,10467,0,24045,360,0,RURAL,Y
LP014791,Female,No,1,Not Graduate,Yes,3555,0,13788,180,1,RURAL,Y
LP012024,Female,Yes,5,Not Graduate,No,4443,1313,12659,180,0,URBAN,Y
LP009617,Female,No,1,Graduate,No,11586,0,16271,180,0,RURAL,Y
LP011768,Male,No,3,Not Graduate,Yes,11793,0,17828,240,1,URBAN,N
LP012689,Female,No,0,Not Graduate,No,1950,0,8816,240,0,URBAN,Y
LP014261,Male,No,5,Not Graduate,Yes,2730,0,18876,180,0,SEMIURBAN,Y
LP015771,Female,Yes,1,Graduate,No,4111,0,8597,360,1,RURAL,N
LP012470,Male,Yes,4,Graduate,No,5544,0,5092,360,0,URBAN,Y
LP008537,Male,Yes,2,Graduate,No,2795,7219,12130,180,0,SEMIURBAN,Y
LP014409,Male,No,4,Graduate,Yes,3066,0,8915,240,0,SEMIURBAN,Y
LP011976,Male,No,3,Graduate,No,10263,0,7241,180,0,URBAN,Y
LP012899,Male,No,0,Graduate,No,2912,0,23723,240,1,SEMIURBAN,Y
LP014960,Male,Yes,4,Graduate,No,3470,8791,17655,240,1,URBAN,Y
LP007598,Male,Yes,1,Graduate,Yes,11642,0,12705,180,0,URBAN,Y
LP014997,Female,No,1,Not Graduate,No,9870,0,7101,180,0,SEMIURBAN,Y
LP010521,Female,No,1,Not Graduate,Yes,7099,0,24891,180,1,RURAL,Y
LP007609,Female,Yes,0,Not Graduate,Yes,2223,2087,23409,240,1,SEMIURBAN,N
LP012199,Male,Yes,1,Not Graduate,Yes,10619,0,10377,360,1,URBAN,Y
LP012374,Female,Yes,1,Not Graduate,Yes,12600,0,6837,240,1,RURAL,Y
LP011926,Male,Yes,1,Graduate,Yes,3480,0,5065,360,1,URBAN,Y
LP014704,Male,No,2,Graduate,No,4998,0,23044,240,1,SEMIURBAN,Y
LP013337,Male,No,4,Graduate,No,2792,0,19505,360,0,URBAN,Y
LP014088,Male,Yes,4,Graduate,Yes,7963,0,2261,360,1,SEMIURBAN,Y
LP013644,Female,Yes,2,Graduate,No,11444,0,17156,360,1,RURAL,N
LP015415,Male,Yes,2,Graduate,No,9989,0,338,240,0,SEMIURBAN,Y
LP012580,Female,No,0,Not Graduate,No,12985,0,18018,240,1,RURAL,Y
LP006999,Female,No,0,Graduate,No,12345,0,4292,360,1,SEMIURBAN,Y
LP011301,Male,No,1,Graduate,No,10331,6609,18544,240,1,URBAN,N
LP011465,Male,No,3,Graduate,Yes,1971,0,16819,360,1,URBAN,N
LP015399,Female,Yes,4,Graduate,No,11517,0,20489,360,0,SEMIURBAN,Y
LP007627,Male,Yes,1,Graduate,Yes,1688,164,20155,360,0,URBAN,Y
LP018517,Male,Yes,3,Not Graduate,No,10708,0,14736,180,0,URBAN,Y
LP006617,Female,No,1,Not Graduate,Yes,2338,4027,4301,360,1,SEMIURBAN,Y
LP014551,Female,Yes,0,Graduate,Yes,9485,7592,18623,360,0,RURAL,Y
LP013538,Female,No,0,Graduate,Yes,12613,0,17704,180,1,SEMIURBAN,Y
LP015713,Male,No,2,Graduate,No,9861,0,10715,240,1,RURAL,Y
LP010587,Female,No,0,Graduate,Yes,11477,0,8193,180,0,SEMIURBAN,Y
LP011608,Male,Yes,0,Not Graduate,Yes,10394,9912,16136,360,1,SEMIURBAN,Y
LP011931,Female,No,1,Graduate,Yes,1973,0,19597,360,1,SEMIURBAN,Y
LP010641,Female,Yes,0,Graduate,Yes,6663,0,10442,240,0,URBAN,Y
LP007932,Male,No,1,Not Graduate,No,2678,0,24034,180,1,SEMIURBAN,Y
LP011233,Male,Yes,3,Graduate,No,3730,0,10791,360,0,RURAL,Y
LP015344,Male,Yes,0,Graduate,Yes,11677,1787,963,240,1,URBAN,Y
LP015681,Female,Yes,1,Graduate,No,6701,0,13491,360,0,SEMIURBAN,Y
LP013500,Female,Yes,1,Graduate,Yes,2976,0,6870,180,0,SEMIURBAN,Y
LP009151,Female,Yes,1,Not Graduate,No,6088,6560,23124,180,1,RURAL,N
LP013792,Male,No,0,Graduate,Yes,3155,0,3555,360,0,RURAL,Y
LP014638,Female,Yes,4,Not Graduate,Yes,1616,0,17030,240,1,URBAN,N
LP012174,Male,Yes,0,Not Graduate,Yes,2088,0,18693,240,1,SEMIURBAN,Y
LP014581,Female,No,5,Not Graduate,Yes,5672,0,1240,240,1,RURAL,Y
LP017973,Female,No,0,Not Graduate,Yes,9939,0,10426,360,1,URBAN,Y
LP010587,Female,Yes,1,Not Graduate,Yes,8770,0,19558,240,1,URBAN,Y
LP017779,Male,No,0,Graduate,Yes,3589,0,22195,360,0,RURAL,Y
LP013297,Male,No,1,Graduate,No,10429,0,3024,360,0,RURAL,Y
LP019211,Male,Yes,0,Graduate,Yes,12702,0,24123,180,0,URBAN,Y
LP012643,Female,No,3,Graduate,Yes,3826,7739,11361,360,0,SEMIURBAN,Y
LP009617,Male,Yes,3,Graduate,No,4363,0,16912,180,1,SEMIURBAN,N
LP014682,Male,No,1,Not Graduate,Yes,1962,0,16425,240,1,SEMIURBAN,N
LP011806,Male,No,1,Not Graduate,No,5546,0,15802,180,0,URBAN,Y
LP015533,Male,Yes,0,Graduate,Yes,7477,7681,15149,240,1,RURAL,N
LP012219,Female,No,5,Not Graduate,No,6010,0,3751,240,1,RURAL,N
LP011730,Female,Yes,4,Graduate,Yes,12245,9658,8951,240,1,RURAL,Y
LP011720,Female,No,1,Graduate,No,12287,0,10159,180,0,RURAL,Y
LP015965,Female,Yes,1,Graduate,Yes,8522,0,8711,240,0,URBAN,Y
LP014272,Female,No,4,Not Graduate,Yes,10160,3031,10776,240,1,RURAL,Y
LP012596,Female,No,4,Not Graduate,No,9373,0,20273,240,0,RURAL,Y
LP011186,Female,Yes,4,Not Graduate,No,2905,0,20929,360,0,SEMIURBAN,Y
LP014338,Female,Yes,2,Graduate,No,11818,0,3970,360,0,SEMIURBAN,Y
LP016299,Male,No,4,Not Graduate,No,7366,0,24162,180,0,URBAN,Y
LP015944,Male,No,3,Graduate,Yes,4645,0,10850,180,0,SEMIURBAN,Y
LP013414,Male,Yes,1,Graduate,Yes,5406,0,17235,180,1,URBAN,Y
LP012276,Female,No,1,Graduate,Yes,7212,8933,6803,240,0,SEMIURBAN,Y
LP011536,Female,Yes,0,Graduate,Yes,5525,0,14315,360,1,RURAL,Y
LP010926,Male,No,0,Graduate,No,7238,0,14322,240,0,SEMIURBAN,Y
LP013834,Female,No,1,Graduate,No,3486,0,20781,240,1,RURAL,N
LP014876,Male,No,0,Graduate,Yes,7190,1594,10792,180,0,RURAL,Y
LP011105,Female,Yes,1,Graduate,No,9344,0,4919,360,1,URBAN,N
LP011163,Male,Yes,4,Graduate,No,5369,3869,2570,240,0,SEMIURBAN,Y
LP013910,Male,No,3,Graduate,Yes,6176,0,14596,180,1,SEMIURBAN,Y
LP013063,Male,Yes,0,Not Graduate,No,11079,0,21415,180,1,RURAL,Y
LP019028,Female,No,0,Graduate,Yes,2572,0,5340,240,0,SEMIURBAN,Y
LP014299,Female,No,0,Not Graduate,Yes,6813,0,15879,360,1,URBAN,N
LP015570,Male,No,1,Not Graduate,No,12051,0,24117,360,1,RURAL,N
LP011228,Female,No,1,Graduate,No,12090,4967,7001,240,0,SEMIURBAN,Y
LP013464,Male,Yes,4,Graduate,Yes,3097,0,13382,240,1,URBAN,Y
LP012980,Female,Yes,5,Not Graduate,No,4800,0,10915,360,0,RURAL,Y
LP010551,Female,No,1,Graduate,Yes,4434,0,21883,180,1,URBAN,Y
LP013715,Male,No,0,Not Graduate,No,5776,0,16775,360,0,URBAN,Y
LP011233,Male,No,0,Graduate,No,2105,0,7577,360,0,URBAN,Y
LP014506,Female,Yes,5,Not Graduate,No,7734,0,15959,240,0,RURAL,Y
LP012088,Male,Yes,3,Graduate,Yes,8849,0,4419,240,1,SEMIURBAN,Y
LP011779,Male,No,2,Graduate,No,7928,0,2120,180,1,URBAN,Y
LP016635,Male,No,4,Graduate,Yes,2686,0,6850,180,0,RURAL,Y
LP014880,Female,No,5,Not Graduate,No,12598,0,13144,180,1,RURAL,Y
LP011618,Male,Yes,1,Not Graduate,No,11888,0,3269,180,1,SEMIURBAN,N
LP013438,Male,No,1,Graduate,Yes,10275,0,17635,360,1,RURAL,N
